Datum;Anlass;Lead;Restaurant;Ort;Küche;Total;Gruppe;Durchschnitt
2022-01-14;ME;Roman;Lieferservice;Volketswil;n/a;;;
2022-02-11;ME;Kevin;Nooba;Zürich;asiatisch;;;
2022-03-11;GV;Marco;Lieferservice;Volketswil;n/a;;;
2022-04-08;ME;Dave;Johaniter;Zürich;schweizerisch;;;
2022-05-13;ME;Marco;Pinochchio;Dübendorf;italienisch;;;
2022-06-10;ME;Cedi;House of Mezze;Uster;libanesisch;;;
2022-07-08;ME;Moe;Kokoro;Zürich;japanisch;;;
2022-08-12;ME;Raphi;Luigia;Zürich;italienisch;;;
2022-09-09;Ausf.;n/a;n/a;n/a;n/a;;;
2022-10-01;VA;Andy;Zur Werkstatt;St. Gallen;schweizerisch;;;
2022-10-14;ME;Marco;La Cote;Zürich;französisch;;;
2022-11-11;ME;Kevin;The Butcher;Uster;amerikanisch;;;
2022-12-09;ME;Andy;Texas Steakhouse;Zürich;amerikanisch;;;
2023-01-13;ME;Kevin;Zeughauskeller;Zürich;schweizerisch;;;
2023-02-10;ME;Ramon;Mc Roland;Kaltbrunn;amerikanisch;;;
2023-03-10;ME;Marco;Lieferservice;Volketswil;n/a;;;
2023-04-14;ME;Andy;The Caribean;Zürich;karibisch;;;
2023-05-12;ME;Roman;Habesha;Zürich;äthiopisch;;;
2023-06-09;ME;Thomi;El Luchadores;Zürich;mexikanisch;;;
2023-07-14;ME;Raphi;Achi Restaurant;Zürich;chinesisch;;;
2023-08-11;ME;Dave;La Esquina;Wallisellen;spanisch;;;
2023-09-08;ME;Cedi;Nihao;Zürich;asiatisch;;;
2023-10-07;VA;Andy;Grottino 1313 (VA);Luzern;italienisch;;;
2023-10-13;ME;Andy;Tasty Döner;Uster;türkisch;;;
2023-11-10;ME;Fabio;Brunnentor Schnitzelbaron;Uster;österreichisch;;;
2023-12-08;ME;Moe;Ciao;Zürich;italienisch;;;
2024-01-12;ME;Ramon;;;;;;
2024-02-09;ME;Marco;;;;;;
2024-03-08;GV;Marco;Lieferservice;;;;;
2024-04-12;ME;Raphi;;;;;;
2024-05-10;ME;Thomi;;;;;;
2024-06-14;ME;Roman;;;;;;
2024-07-12;ME;Dave;;;;;;
2024-08-09;ME;Cedi;;;;;;
2024-09-13;ME;Andy;;;;;;
2024-10-11;ME;Kevin;;;;;;
2024-11-08;ME;Fabio;;;;;;
2024-12-13;ME;Moe;;;;;;
2025-01-10;ME;Ramon;;;;;;
2025-02-14;ME;Marco;;;;;;
2025-03-14;GV;Marco;Lieferservice;;;;;
2025-04-11;ME;Raphi;;;;;;
2025-05-09;ME;Thomi;;;;;;
2025-06-13;ME;Roman;;;;;;
2025-07-11;ME;Dave;;;;;;
2025-08-08;ME;Cedi;;;;;;
2025-09-12;ME;Andy;;;;;;
2025-10-10;ME;Kevin;;;;;;
2025-11-14;ME;Fabio;;;;;;
2025-12-12;ME;Moe;;;;;;
